date,item_id,price,label,gender,product
2000-01-01,510104,53.617294,Men jacket,Men,Jacket
2000-01-01,510108,26.001524,Men jumper,Men,Jumper
2000-01-01,510118,27.944092,Men trousers,Men,Trousers
2000-01-01,510120,25.273527,Men sweatshirt,Men,Sweatshirt
2000-01-01,510208,57.207096,Women jacket,Women,Jacket
2000-01-01,510212,21.618595,Women jumper,Women,Jumper
2000-02-01,510104,53.542736,Men jacket,Men,Jacket
2000-02-01,510108,28.66029,Men jumper,Men,Jumper
2000-02-01,510118,28.76749,Men trousers,Men,Trousers
2000-02-01,510120,25.722647,Men sweatshirt,Men,Sweatshirt
2000-02-01,510208,61.991905,Women jacket,Women,Jacket
2000-02-01,510212,22.596502,Women jumper,Women,Jumper
2000-03-01,510104,57.648045,Men jacket,Men,Jacket
2000-03-01,510108,30.86871,Men jumper,Men,Jumper
2000-03-01,510118,30.380104,Men trousers,Men,Trousers
2000-03-01,510120,26.850111,Men sweatshirt,Men,Sweatshirt
2000-03-01,510208,67.064186,Women jacket,Women,Jacket
2000-03-01,510212,24.542099,Women jumper,Women,Jumper
2000-04-01,510104,57.768982,Men jacket,Men,Jacket
2000-04-01,510108,31.555391,Men jumper,Men,Jumper
2000-04-01,510118,30.671104,Men trousers,Men,Trousers
2000-04-01,510120,27.269669,Men sweatshirt,Men,Sweatshirt
2000-04-01,510208,67.226006,Women jacket,Women,Jacket
2000-04-01,510212,23.19077,Women jumper,Women,Jumper
2000-05-01,510104,57.279804,Men jacket,Men,Jacket
2000-05-01,510108,32.187,Men jumper,Men,Jumper
2000-05-01,510118,30.982954,Men trousers,Men,Trousers
2000-05-01,510120,29.027315,Men sweatshirt,Men,Sweatshirt
2000-05-01,510208,66.315056,Women jacket,Women,Jacket
2000-05-01,510212,22.69254,Women jumper,Women,Jumper
2000-06-01,510104,58.281315,Men jacket,Men,Jacket
2000-06-01,510108,32.824017,Men jumper,Men,Jumper
2000-06-01,510118,31.701225,Men trousers,Men,Trousers
2000-06-01,510120,30.240314,Men sweatshirt,Men,Sweatshirt
2000-06-01,510208,65.543205,Women jacket,Women,Jacket
2000-06-01,510212,23.480158,Women jumper,Women,Jumper
2000-07-01,510104,51.91504,Men jacket,Men,Jacket
2000-07-01,510108,29.10375,Men jumper,Men,Jumper
2000-07-01,510118,28.096197,Men trousers,Men,Trousers
2000-07-01,510120,26.09664,Men sweatshirt,Men,Sweatshirt
2000-07-01,510208,57.254864,Women jacket,Women,Jacket
2000-07-01,510212,20.44236,Women jumper,Women,Jumper
2000-08-01,510104,52.071606,Men jacket,Men,Jacket
2000-08-01,510108,29.231651,Men jumper,Men,Jumper
2000-08-01,510118,28.08838,Men trousers,Men,Trousers
2000-08-01,510120,26.1295,Men sweatshirt,Men,Sweatshirt
2000-08-01,510208,62.477646,Women jacket,Women,Jacket
2000-08-01,510212,21.895,Women jumper,Women,Jumper
2000-09-01,510104,56.47797,Men jacket,Men,Jacket
2000-09-01,510108,30.302795,Men jumper,Men,Jumper
2000-09-01,510118,29.966095,Men trousers,Men,Trousers
2000-09-01,510120,27.234291,Men sweatshirt,Men,Sweatshirt
2000-09-01,510208,63.0715,Women jacket,Women,Jacket
2000-09-01,510212,22.580553,Women jumper,Women,Jumper
2000-10-01,510104,55.824963,Men jacket,Men,Jacket
2000-10-01,510108,30.552782,Men jumper,Men,Jumper
2000-10-01,510118,30.91481,Men trousers,Men,Trousers
2000-10-01,510120,29.216166,Men sweatshirt,Men,Sweatshirt
2000-10-01,510208,64.42575,Women jacket,Women,Jacket
2000-10-01,510212,23.702343,Women jumper,Women,Jumper
2000-11-01,510104,59.55748,Men jacket,Men,Jacket
2000-11-01,510108,30.823753,Men jumper,Men,Jumper
2000-11-01,510118,30.690722,Men trousers,Men,Trousers
2000-11-01,510120,28.68361,Men sweatshirt,Men,Sweatshirt
2000-11-01,510208,66.11794,Women jacket,Women,Jacket
2000-11-01,510212,24.43158,Women jumper,Women,Jumper
2000-12-01,510104,61.95821,Men jacket,Men,Jacket
2000-12-01,510108,31.73431,Men jumper,Men,Jumper
2000-12-01,510118,30.773298,Men trousers,Men,Trousers
2000-12-01,510120,28.912525,Men sweatshirt,Men,Sweatshirt
2000-12-01,510208,65.47,Women jacket,Women,Jacket
2000-12-01,510212,23.591234,Women jumper,Women,Jumper
2001-01-01,510104,51.48578,Men jacket,Men,Jacket
2001-01-01,510108,28.277414,Men jumper,Men,Jumper
2001-01-01,510118,28.48588,Men trousers,Men,Trousers
2001-01-01,510120,25.175095,Men sweatshirt,Men,Sweatshirt
2001-01-01,510208,55.28011,Women jacket,Women,Jacket
2001-01-01,510212,21.013788,Women jumper,Women,Jumper
2001-02-01,510104,53.151863,Men jacket,Men,Jacket
2001-02-01,510108,29.262684,Men jumper,Men,Jumper
2001-02-01,510118,28.247082,Men trousers,Men,Trousers
2001-02-01,510120,25.303196,Men sweatshirt,Men,Sweatshirt
2001-02-01,510208,57.565517,Women jacket,Women,Jacket
2001-02-01,510212,21.569187,Women jumper,Women,Jumper
2001-02-01,510235,25.737587,Women trousers,Women,Trousers
2001-03-01,510104,58.261993,Men jacket,Men,Jacket
2001-03-01,510108,31.378983,Men jumper,Men,Jumper
2001-03-01,510118,29.212858,Men trousers,Men,Trousers
2001-03-01,510120,26.59,Men sweatshirt,Men,Sweatshirt
2001-03-01,510208,58.25143,Women jacket,Women,Jacket
2001-03-01,510212,22.743488,Women jumper,Women,Jumper
2001-03-01,510235,26.331694,Women trousers,Women,Trousers
2001-04-01,510104,58.39818,Men jacket,Men,Jacket
2001-04-01,510108,29.894938,Men jumper,Men,Jumper
2001-04-01,510118,29.351055,Men trousers,Men,Trousers
2001-04-01,510120,27.124786,Men sweatshirt,Men,Sweatshirt
2001-04-01,510208,57.148804,Women jacket,Women,Jacket
2001-04-01,510212,21.767296,Women jumper,Women,Jumper
2001-04-01,510235,26.484104,Women trousers,Women,Trousers
2001-05-01,510104,58.565624,Men jacket,Men,Jacket
2001-05-01,510108,31.286589,Men jumper,Men,Jumper
2001-05-01,510118,30.241356,Men trousers,Men,Trousers
2001-05-01,510120,27.295273,Men sweatshirt,Men,Sweatshirt
2001-05-01,510208,62.409054,Women jacket,Women,Jacket
2001-05-01,510212,21.892773,Women jumper,Women,Jumper
2001-05-01,510235,26.240467,Women trousers,Women,Trousers
2001-06-01,510104,56.591183,Men jacket,Men,Jacket
2001-06-01,510108,31.700798,Men jumper,Men,Jumper
2001-06-01,510118,30.458323,Men trousers,Men,Trousers
2001-06-01,510120,26.819393,Men sweatshirt,Men,Sweatshirt
2001-06-01,510208,60.44032,Women jacket,Women,Jacket
2001-06-01,510212,22.766851,Women jumper,Women,Jumper
2001-06-01,510235,26.349855,Women trousers,Women,Trousers
2001-07-01,510104,50.141228,Men jacket,Men,Jacket
2001-07-01,510108,27.99131,Men jumper,Men,Jumper
2001-07-01,510118,27.747194,Men trousers,Men,Trousers
2001-07-01,510120,24.007383,Men sweatshirt,Men,Sweatshirt
2001-07-01,510208,53.503586,Women jacket,Women,Jacket
2001-07-01,510212,19.29374,Women jumper,Women,Jumper
2001-07-01,510235,23.66,Women trousers,Women,Trousers
2001-08-01,510104,51.181053,Men jacket,Men,Jacket
2001-08-01,510108,28.17495,Men jumper,Men,Jumper
2001-08-01,510118,26.857698,Men trousers,Men,Trousers
2001-08-01,510120,26.554459,Men sweatshirt,Men,Sweatshirt
2001-08-01,510208,58.257633,Women jacket,Women,Jacket
2001-08-01,510212,21.117455,Women jumper,Women,Jumper
2001-08-01,510235,24.506443,Women trousers,Women,Trousers
2001-09-01,510104,52.105038,Men jacket,Men,Jacket
2001-09-01,510108,28.372478,Men jumper,Men,Jumper
2001-09-01,510118,28.251972,Men trousers,Men,Trousers
2001-09-01,510120,27.878242,Men sweatshirt,Men,Sweatshirt
2001-09-01,510208,60.395718,Women jacket,Women,Jacket
2001-09-01,510212,22.145592,Women jumper,Women,Jumper
2001-09-01,510235,25.876245,Women trousers,Women,Trousers
2001-10-01,510104,53.01514,Men jacket,Men,Jacket
2001-10-01,510108,29.087927,Men jumper,Men,Jumper
2001-10-01,510118,28.894043,Men trousers,Men,Trousers
2001-10-01,510120,28.040724,Men sweatshirt,Men,Sweatshirt
2001-10-01,510208,60.142605,Women jacket,Women,Jacket
2001-10-01,510212,22.263542,Women jumper,Women,Jumper
2001-10-01,510235,25.19484,Women trousers,Women,Trousers
2001-11-01,510104,55.26177,Men jacket,Men,Jacket
2001-11-01,510108,30.413633,Men jumper,Men,Jumper
2001-11-01,510118,29.664604,Men trousers,Men,Trousers
2001-11-01,510120,29.093859,Men sweatshirt,Men,Sweatshirt
2001-11-01,510208,59.101486,Women jacket,Women,Jacket
2001-11-01,510212,22.95313,Women jumper,Women,Jumper
2001-11-01,510235,25.458633,Women trousers,Women,Trousers
2001-12-01,510104,53.20025,Men jacket,Men,Jacket
2001-12-01,510108,30.146278,Men jumper,Men,Jumper
2001-12-01,510118,30.293985,Men trousers,Men,Trousers
2001-12-01,510120,29.223156,Men sweatshirt,Men,Sweatshirt
2001-12-01,510208,61.99912,Women jacket,Women,Jacket
2001-12-01,510212,22.64888,Women jumper,Women,Jumper
2001-12-01,510235,25.416723,Women trousers,Women,Trousers
2002-01-01,510104,46.95897,Men jacket,Men,Jacket
2002-01-01,510108,25.90428,Men jumper,Men,Jumper
2002-01-01,510118,28.31827,Men trousers,Men,Trousers
2002-01-01,510120,25.498325,Men sweatshirt,Men,Sweatshirt
2002-01-01,510208,55.70965,Women jacket,Women,Jacket
2002-01-01,510212,20.314106,Women jumper,Women,Jumper
2002-01-01,510235,23.116,Women trousers,Women,Trousers
2002-02-01,510104,48.829414,Men jacket,Men,Jacket
2002-02-01,510108,27.740246,Men jumper,Men,Jumper
2002-02-01,510118,29.033407,Men trousers,Men,Trousers
2002-02-01,510120,25.56346,Men sweatshirt,Men,Sweatshirt
2002-02-01,510208,59.638252,Women jacket,Women,Jacket
2002-02-01,510212,22.644075,Women jumper,Women,Jumper
2002-02-01,510235,26.115847,Women trousers,Women,Trousers
2002-03-01,510104,51.58474,Men jacket,Men,Jacket
2002-03-01,510108,29.392015,Men jumper,Men,Jumper
2002-03-01,510118,30.241488,Men trousers,Men,Trousers
2002-03-01,510120,28.469835,Men sweatshirt,Men,Sweatshirt
2002-03-01,510208,60.031837,Women jacket,Women,Jacket
2002-03-01,510212,23.55037,Women jumper,Women,Jumper
2002-03-01,510235,25.257967,Women trousers,Women,Trousers
2002-04-01,510104,53.94077,Men jacket,Men,Jacket
2002-04-01,510108,30.994696,Men jumper,Men,Jumper
2002-04-01,510118,29.616274,Men trousers,Men,Trousers
2002-04-01,510120,28.394112,Men sweatshirt,Men,Sweatshirt
2002-04-01,510208,62.1342,Women jacket,Women,Jacket
2002-04-01,510212,24.49719,Women jumper,Women,Jumper
2002-04-01,510235,25.237879,Women trousers,Women,Trousers
2002-05-01,510104,55.50054,Men jacket,Men,Jacket
2002-05-01,510108,32.84878,Men jumper,Men,Jumper
2002-05-01,510118,30.808949,Men trousers,Men,Trousers
2002-05-01,510120,30.536085,Men sweatshirt,Men,Sweatshirt
2002-05-01,510208,62.18637,Women jacket,Women,Jacket
2002-05-01,510212,25.493217,Women jumper,Women,Jumper
2002-05-01,510235,28.13048,Women trousers,Women,Trousers
2002-06-01,510104,53.22043,Men jacket,Men,Jacket
2002-06-01,510108,33.936398,Men jumper,Men,Jumper
2002-06-01,510118,30.93087,Men trousers,Men,Trousers
2002-06-01,510120,30.347101,Men sweatshirt,Men,Sweatshirt
2002-06-01,510208,64.028404,Women jacket,Women,Jacket
