Country,2000-Q1,2000-Q2,2000-Q3,2000-Q4,2001-Q1,2001-Q2,2001-Q3,2001-Q4,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
Finland,22.7534,21.28895,20.65478,20.97246,19.39017,19.91147,19.95899,19.79609,21.57193,21.38595,20.15984,20.8823,21.46872,20.86766,22.58679,22.1754,20.77921,20.74493,20.86661,20.36033,20.20873,20.3724,20.20103,19.5286,19.13594,19.83919,18.38026,17.57928,18.55694,16.11221,15.18838,16.25119,15.5384,16.63592,16.38681,17.2248,16.56557,22.39193,23.00086,24.66964,22.9729,21.39666,21.18588,22.11199,21.54516,19.78724,20.54913,19.49225,20.0744,18.94786,19.30131,20.03552,20.84645,22.07558,19.61265,19.8776,21.00255,20.30764,18.91658,21.99849,22.37004,22.90279,22.55709,21.98346,20.93627,19.45144,21.09686,20.05585,21.51084,21.20546,19.96108,17.39909,19.33015,17.42266,17.20479,15.52189,17.01763,17.90855,17.65938,17.70563,18.82611,21.55103,22.04651,21.83248,20.22514,19.24818,14.24173,14.57321,13.56106,13.29357,14.72076,15.11252,13.97357,16.20383,17.08909,17.37231,18.521,18.33089,18.49112,19.77462,20.35151,19.95223,
France,,,,,,,,,,,,,18.90822,20.0924,19.93942,21.24231,21.38246,21.43307,22.04458,21.99057,21.31481,21.51199,23.19453,23.08054,24.00925,23.72382,23.32747,22.9465,22.43674,21.12833,19.79916,20.06799,18.91817,19.72407,20.26638,21.90913,24.1559,25.37765,25.23705,25.3284,24.67955,25.04845,25.20408,23.91832,24.84884,24.19954,23.33368,24.0973,24.33554,24.98716,25.96138,27.98586,27.38601,26.88278,26.026,25.37418,25.34695,25.32279,25.64798,26.35768,26.2557,25.90943,26.05952,26.14921,26.22337,25.93911,26.31464,25.40178,23.87667,24.47036,22.98687,22.68514,22.98779,21.91205,22.11462,21.06338,20.95216,20.38692,19.66481,21.95862,20.64594,22.41067,22.20767,20.80538,21.13758,19.39032,18.50579,16.73025,16.69411,18.02304,17.51833,17.07847,16.61684,17.04874,17.4236,17.71752,18.1221,17.99117,19.68397,19.02829,19.23932,19.23779,
Germany,,,,,,,,,,,,,,,,,,,,,16.11032,15.68118,15.4177,14.88446,14.51113,13.50345,13.66779,13.36389,12.40007,12.17404,11.46439,11.5857,10.93498,10.87692,10.11663,10.30479,11.75205,12.18007,11.91196,11.89606,11.84839,10.13466,10.05563,9.835909,9.85344,9.026587,8.880705,8.626555,8.418321,8.4493,8.839641,8.590702,8.287531,8.074936,8.373647,8.618647,8.556595,8.104184,8.167114,8.144426,7.84372,7.329671,8.00687,7.524675,7.869153,7.68186,7.309577,7.064231,7.524803,7.209993,6.71529,7.178589,6.8634,6.857222,6.331474,6.204686,6.241827,5.604784,6.482142,6.064552,7.050346,8.275006,7.920244,8.387667,8.128246,6.973194,6.631616,6.203851,5.488875,6.043434,6.366644,6.072289,5.846219,5.896892,5.650447,6.279601,6.10311,6.745038,6.771963,6.498847,7.097255,6.216222,
Greece,30.34701,29.65641,29.24355,27.6355,28.30785,28.4992,27.4017,27.96563,28.01861,26.5101,26.11476,25.6304,26.25741,26.21157,27.03208,27.08002,28.11964,26.81259,25.61429,25.47855,24.87203,25.81009,26.58076,25.8981,24.58209,25.09375,24.78693,25.44507,24.02776,22.47291,22.60369,21.58862,22.35266,21.094,21.91828,22.11284,25.26858,25.27989,25.99028,27.92449,30.34518,32.35181,34.37721,37.73043,40.68888,43.63162,46.64022,50.26904,52.17496,54.6194,57.82805,59.04688,60.23038,60.28218,59.20383,57.401,55.94505,53.06468,51.16452,52.04983,50.2767,49.80359,51.23608,50.07545,50.46573,49.8161,46.55797,45.74369,46.19106,45.53367,42.69627,43.74639,43.81813,40.38734,38.83355,41.01892,39.85328,36.42544,36.99889,36.51868,34.17244,40.27196,38.53097,39.23326,41.35579,37.16285,32.18409,31.52352,33.87888,32.01441,31.26497,28.57812,26.18543,26.67229,26.24053,27.70502,25.40912,24.7692,17.38286,21.88766,21.20454,18.34526,
Hungary,12.42873,12.85091,12.34329,12.29943,11.75122,11.29054,10.70391,11.51906,11.58737,12.00147,13.6632,13.44258,14.13683,13.48055,12.87608,12.83241,14.14163,14.89969,15.82842,17.09156,18.3766,19.92597,20.00426,19.25495,18.88716,18.07803,19.77073,19.84582,18.43001,16.83394,17.47979,19.38596,19.33698,19.12881,19.79345,19.73318,24.86455,25.08022,27.53695,28.15653,27.16648,26.68579,26.49376,25.38156,26.51555,24.10704,26.30421,26.98753,28.1625,28.02428,29.14438,27.48166,29.21636,25.98541,26.78463,24.28603,20.93386,20.74702,21.45967,18.45211,19.29229,17.95159,16.44939,15.4509,14.03771,13.55283,12.36121,11.74324,10.36945,11.11689,10.98974,10.30748,10.34075,9.87205,10.21204,10.26574,11.43503,11.27467,11.25385,12.27382,11.623,15.02672,13.24484,11.92526,13.86134,13.79111,14.34555,12.57976,10.5544,10.17909,10.45305,11.12412,10.51979,13.82258,12.05581,14.81631,15.74125,12.89714,17.20921,14.73202,13.59273,13.73845,
Iceland,,,,,,,,,,,,,9.227674,8.493096,7.514956,8.353939,6.142292,7.554025,4.011752,7.988219,9.950626,4.805419,7.675797,8.393517,8.046928,9.15743,9.91197,7.747847,7.29508,6.405737,6.517537,7.283453,5.210408,6.383525,9.060495,10.45437,12.87651,16.3666,16.05658,17.08634,17.24231,16.99317,15.16702,15.88962,15.59663,14.15728,14.24081,15.2732,15.65519,13.46683,12.11593,13.22891,11.22495,12.28712,10.11324,8.905508,10.94984,8.810456,9.602294,9.851383,8.728793,9.079389,8.385474,8.778019,6.835911,6.289075,6.243351,6.700283,7.746201,7.653275,8.747748,7.234324,5.71015,6.988068,6.1227,5.782106,7.551224,7.287459,9.770857,10.36874,6.530606,11.15197,10.42596,11.84323,14.8031,15.21236,7.654428,10.51279,10.15295,11.05898,8.997808,7.848456,8.951389,7.515143,9.961537,9.026377,8.66105,9.342996,9.182525,9.159249,11.52218,7.323122,
Ireland,7.506855,7.024465,6.601385,6.609026,6.401581,6.804849,7.652109,7.695428,8.432559,8.482468,8.202286,8.763206,9.254853,8.852736,9.456466,9.084857,8.81187,8.904305,9.124605,8.920164,8.334341,8.668452,8.516752,8.728269,8.62613,8.522913,9.760278,7.459903,8.773567,10.12462,8.628033,9.05905,10.31857,12.08004,14.68703,17.11904,20.46746,24.40989,26.11093,27.1124,27.38249,27.38945,28.16282,29.8185,28.98046,28.89202,30.28775,30.44471,30.83746,31.50492,31.27781,28.89617,27.81478,27.837,26.34113,25.16967,26.17611,24.67444,22.42573,21.29984,22.32916,19.515,19.07446,19.5474,18.10564,16.69524,16.22307,16.02876,14.72062,14.50225,14.91944,13.75184,14.56039,13.44802,13.60495,13.63674,13.05717,14.07872,12.14189,11.18014,12.43352,15.81285,19.79467,15.96078,17.58757,19.58091,10.71034,11.47274,9.305463,10.12483,10.55377,10.3502,10.34596,10.84301,10.92697,10.49882,10.42332,10.74709,10.20979,11.08474,11.11747,11.93592,
Israel,16.06887,15.71684,18.5337,17.43416,17.07307,18.63815,18.47912,20.37986,20.48083,20.24736,21.80249,20.9159,22.86409,20.96051,22.70519,22.35505,20.91317,20.11946,20.19703,20.76184,18.63397,16.58864,18.63238,17.40206,18.52569,18.78547,17.7255,17.90998,17.79002,15.93546,14.77785,15.71432,13.53092,13.79999,11.69086,11.45696,13.57253,15.11817,14.60064,15.04276,15.55775,12.34776,14.77608,12.04266,11.59129,12.10233,10.55745,11.24414,12.6616,12.25095,11.55051,12.06285,11.89311,10.81573,10.02701,9.366542,10.25206,10.37959,11.54376,10.14366,9.560993,9.316191,9.215949,9.127297,9.083943,8.94856,8.513924,7.975162,7.770092,7.573833,6.562426,7.152865,6.685497,6.720464,7.820958,7.383399,6.789799,6.85433,6.325681,6.745284,6.093633,8.494404,8.51048,8.712998,8.28994,8.064175,7.39802,7.362058,7.105578,6.432802,6.934859,7.080499,6.665911,5.716212,5.734431,5.823436,5.701429,4.756674,4.102946,4.024839,4.683197,5.128465,4.34844
Italy,31.80355,31.6882,31.44648,29.51919,28.67604,28.126,28.5682,27.42482,27.54624,27.4653,27.30659,26.60248,27.56631,27.16748,27.08802,26.4156,22.79613,24.89665,22.73776,23.58187,24.49857,23.52103,25.2706,23.1886,23.2096,21.60809,20.90696,21.21553,19.63171,19.43967,20.85431,21.51162,19.81266,21.25941,21.69925,22.06895,24.36252,24.68886,26.04176,26.64235,27.19747,28.55067,27.91079,28.24407,27.48687,28.01966,29.8511,31.14951,33.2359,35.10762,35.57608,37.54093,39.34048,38.79946,40.69403,41.25439,43.35959,42.89251,42.87568,41.54115,42.17893,41.95186,38.36338,38.6722,38.66587,36.76217,36.87983,38.41098,35.73799,35.33322,34.61539,32.8939,32.10607,32.5234,32.14201,32.07816,31.05013,29.14453,28.65584,27.80687,28.5684,25.80582,33.89475,30.37219,32.74807,30.47408,28.32422,27.3032,24.81629,23.60393,23.57866,22.83537,22.13827,22.95055,23.2593,22.56732,21.15197,20.58179,19.90611,19.56802,19.88918,21.25705,
Japan,8.8,8.8,8.9,9.866667,9.1,9.466666,10.1,9.833333,10.3,9.933333,9.933333,9.433333,10.36667,10.6,9.7,9.733334,9.8,9.466666,9.566667,9.1,8.5,8.7,8.366667,8.866667,7.966667,8.366667,8,7.4,8.266666,7.2,7.566667,7.933333,6.933333,7,7.766667,7.333333,8.733334,8.866667,9.633333,9.533334,9.366667,9.933333,8.833333,9.166667,8.296855,8.259958,8.085057,8.6,9.033334,8.133333,7.9,7.266667,6.766667,7.066667,6.733333,6.466667,6.233333,6.433333,5.9,6.166667,6.133333,5.4,5.533333,5.333333,5.666667,5.133333,4.933333,4.8,4.566667,4.9,4.666667,4.433333,3.933333,3.633333,3.666667,3.333333,3.533333,3.766667,4,3.866667,3.866667,4.7,4.8,4.8,4.933333,4.466667,4.433333,4.533333,4.033333,4.233333,4.3,4.633333,4.533333,4.033333,3.766667,3.9,4.033333,4.1,4.133333,3.5,4.1,4.1,4.166667
Korea,11.51542,10.7776,10.74652,10.28575,10.99713,10.07779,9.594876,10.21698,9.336473,8.244812,8.487047,7.874803,9.310213,9.571608,9.945604,11.27151,10.53551,10.89244,9.915313,10.26601,10.39062,10.04877,9.931151,10.22177,10.00006,9.433041,10.27595,10.41302,8.426815,8.913885,9.124159,8.462897,8.35303,9.43608,9.643901,9.76142,9.457167,9.725292,10.10435,10.09757,10.691,9.789659,9.417645,9.082273,9.89019,9.246654,9.685633,9.799503,8.863987,9.366233,9.019423,8.786283,8.887632,8.998091,9.795469,9.644924,10.05471,9.859631,9.872691,10.30023,10.76367,10.67934,10.28797,10.35353,10.96329,10.52908,11.32762,9.892345,10.045,10.54461,10.29801,10.43693,10.0905,9.774026,11.81668,10.43865,10.18995,11.36007,10.41405,9.804003,9.428656,10.89879,11.04502,10.70213,10.14608,9.074124,7.146185,7.700626,7.493071,7.429133,7.073881,6.204375,6.17183,5.176074,5.719904,5.969953,6.439026,6.697247,5.787757,6.698144,6.589902,6.770142,6.126311
Latvia,,,,,,,,,19.09135,22.7754,19.54945,19.9941,19.13917,19.72104,19.65663,19.93915,19.13569,21.73772,18.17947,20.88543,16.19629,19.52017,10.89734,13.74883,13.7704,18.46138,10.63671,12.61311,11.32165,12.38063,10.14058,8.410723,9.715407,12.28049,11.30907,21.68015,29.2581,30.07978,34.92563,39.5959,40.58762,35.33484,35.28816,32.87644,31.3276,34.07776,30.38037,28.32988,29.28794,30.71714,31.25158,22.13014,23.05653,20.0512,27.51953,21.73034,17.7726,20.96739,20.64397,18.70026,14.4895,15.4773,15.33057,19.78759,15.35545,19.30705,18.90624,15.68954,15.84643,17.23731,17.65528,15.25935,13.87353,10.80336,12.72484,12.9858,13.93626,15.82601,11.06139,9.48337,15.79593,17.5359,15.37431,11.02437,15.88199,16.6796,15.24217,11.26829,11.77607,14.88765,17.98463,15.95708,13.31126,9.852836,12.41615,13.40553,12.10195,17.37291,13.0284,12.25729,15.51273,18.23751,
Lithuania,,,,,,,,,,,,,,,,,,,,,18.92596,16.9276,13.23063,14.53913,12.8799,11.93442,11.13301,11.23697,11.32144,9.254092,7.754165,9.38764,9.72472,11.03658,15.07505,17.28961,25.64019,30.06159,33.15139,29.67369,36.65884,37.25399,35.90345,33.44827,33.78289,33.07043,31.57793,31.40166,28.30898,24.66511,28.2284,25.26088,22.82236,20.85907,23.21613,20.6501,21.29157,21.0723,16.62571,18.10672,19.88693,16.57543,15.39452,13.26352,14.38272,15.4915,13.05858,14.89657,14.18276,12.83926,12.55852,13.56553,13.33296,10.75071,9.506638,11.13739,12.55496,10.02329,10.57483,14.34738,14.81901,20.76277,23.56967,19.43639,12.65979,19.04282,14.74355,11.12652,12.50615,11.75055,11.01619,13.00127,15.2646,15.00661,15.1587,18.91549,14.31106,16.58164,19.96215,20.68199,16.95724,17.74357,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.23758,14.23215,18.85206,13.57779,16.13401,14.0856,24.20032,19.44203,26.68111,13.56339,12.43829,17.46393,16.47168,17.09513,11.69049,12.63272,15.36753,18.60438,13.42341,18.89457,22.31344,14.07285,17.79729,20.10009,21.71345,18.52739,13.30674,10.75768,20.79134,18.69451,34.71166,18.56691,21.30066,12.64408,15.20222,19.59482,18.79799,18.56708,20.52936,18.07199,14.81622,15.95628,12.59459,18.20193,13.16434,13.34939,15.74442,13.92101,14.36986,18.43148,18.22645,15.73229,17.88396,24.27679,24.02236,26.1453,17.1843,17.47053,15.83504,17.02674,19.8028,17.03334,17.66083,16.52966,17.3874,16.24322,16.34726,25.2794,17.68531,26.8766,24.66108,17.00994,16.25482,19.831,
Mexico,,,,,,,,,,,,,,,,,,,,,7.082824,7.108558,7.00075,6.504854,6.772674,6.591662,7.189299,7.616075,7.622042,7.065234,7.117185,7.012704,7.483115,7.32495,7.579353,8.434158,9.282968,10.35727,10.72577,10.0302,9.504129,9.636608,9.928158,10.00299,9.707448,10.09277,9.988421,9.575253,9.718033,9.520325,9.174438,9.343101,9.582438,9.357805,9.625802,9.34981,9.56985,9.685212,9.429906,9.19925,8.625049,9.046597,8.403385,8.374011,8.372325,7.975632,7.322966,7.229954,6.840028,6.84616,7.001465,6.9884,6.815771,6.948128,6.81916,6.99036,7.138976,7.182312,7.474441,7.174594,7.250282,9.072934,8.542035,8.406848,8.843859,8.358524,7.177423,7.390777,6.716076,6.458223,6.584887,6.357728,6.002263,5.756224,5.90526,6.026435,5.682646,5.923821,6.051664,5.717301,5.697927,5.724654,
Netherlands,5.913517,5.624306,6.20868,5.306391,4.856021,4.588405,4.233946,4.700584,4.630712,4.668095,5.316177,5.412861,5.686633,6.558259,6.334064,6.652308,7.715605,7.960061,7.687349,8.469442,11.85427,12.04469,11.8801,11.61678,10.81188,9.913045,9.679647,9.669663,9.570765,9.37488,9.489655,9.009068,8.643778,8.724428,8.368847,8.572755,10.73672,11.44805,11.82645,12.33717,12.65066,12.62411,12.20559,11.98949,11.34186,11.07526,11.45492,11.87139,12.63618,12.83252,12.9795,13.25677,13.67458,13.90958,14.546,14.61611,14.59123,14.13991,13.4022,12.98424,12.49458,12.46956,12.49286,12.55885,12.60966,12.43596,11.87565,11.66216,11.32059,10.73536,9.970373,9.582899,9.171735,8.861469,8.850676,8.638777,8.565984,8.323774,8.270684,8.700829,8.440382,11.19342,11.71017,11.09666,10.71581,9.934195,8.528012,8.157697,7.483544,7.430475,7.865641,7.746056,7.984123,8.325096,8.462631,8.224781,8.583225,8.612234,8.741324,8.78843,8.894584,8.747401,
New Zealand,14.18112,13.84548,12.67209,13.41027,12.54823,11.95504,11.63647,12.29752,11.0685,11.77004,12.68856,11.487,11.46194,10.34263,9.4577,10.6478,8.949955,10.83434,9.685998,9.126266,10.37036,9.806718,9.980241,8.925508,10.0633,9.505356,10.08259,10.07729,11.15469,9.550016,10.32823,8.683751,10.75711,10.48174,10.90693,11.9088,13.26516,16.07141,16.89218,17.71362,15.63974,17.97117,16.41278,16.36853,16.51586,16.56975,15.61897,15.99755,16.5704,16.29442,16.84896,18.04391,14.75633,15.54411,15.66487,15.2231,14.40222,14.02588,13.53595,14.33211,13.6561,13.97389,14.89455,12.91526,13.52711,13.01299,13.37774,13.86112,12.48663,13.45697,13.37897,12.44817,11.75427,12.4469,9.964882,13.00531,11.83169,11.03722,11.03277,11.33975,11.70318,10.54498,13.73782,13.70654,12.29966,11.04503,10.05624,8.846528,9.578162,9.217297,9.038569,9.833824,9.697684,10.05592,11.66424,11.80267,14.17561,13.82831,13.75729,14.84847,14.99576,15.54875,
Norway,10.88436,9.705993,11.10239,10.22765,10.37511,10.74809,10.49743,11.10053,11.77214,11.65063,10.88063,10.71949,10.9519,10.41836,11.94829,10.68949,11.03146,11.3495,11.47732,11.6611,11.30877,11.71326,11.21896,11.68704,9.452706,10.11801,8.384587,7.047804,8.437342,7.692827,7.062505,6.535892,7.148685,7.318607,7.356877,8.166295,8.451236,9.115273,9.08094,8.703721,9.192608,10.04471,7.75242,9.068722,8.783905,8.119544,8.321127,7.930925,7.378228,7.938221,8.311198,9.082393,9.384439,8.134213,8.831822,9.052369,7.682335,6.849917,8.052703,7.640524,8.916591,9.840478,10.2853,9.285994,11.00526,10.88047,10.71073,10.24123,10.3628,10.33487,10.0985,9.148778,8.508298,9.282535,9.412134,10.0053,9.726611,9.311482,9.410021,9.788845,9.759337,11.02748,11.58859,11.23893,12.88417,13.33892,12.65905,11.5589,9.911074,9.681563,9.409068,11.04565,11.91686,9.548728,11.02129,11.53007,11.6687,12.42032,11.53217,12.62326,12.87404,13.89392,
Poland,35.90886,35.2945,34.44005,34.99318,36.75219,39.0874,40.48745,41.8918,41.56764,41.76539,42.71712,44.07452,42.58915,41.53349,42.07978,41.21968,41.25624,40.17359,39.03678,37.6952,37.74431,38.75846,36.2289,34.69593,33.07563,30.7179,28.42607,26.82496,24.39238,22.30685,20.98543,18.80411,17.88949,17.50468,16.40527,17.35267,19.28237,20.16833,22.1336,22.29954,23.88492,23.72189,24.24788,23.96944,25.70548,25.37435,26.5582,26.50027,26.71013,26.43736,26.78566,27.2851,28.30658,27.45181,27.64496,26.96608,26.1864,24.24099,23.93312,21.97577,22.2596,21.02446,20.34721,20.21634,19.26545,18.05843,17.89437,16.0282,15.59935,15.62694,14.10747,14.24099,12.17185,11.40674,11.73484,11.88612,10.63389,10.54124,9.587746,8.163729,9.053313,9.821535,11.96907,12.79246,13.5395,13.2303,11.62757,9.334689,10.48173,9.472947,11.80723,11.31566,11.03954,11.75412,10.92684,11.70186,11.34376,10.06012,11.26429,10.60907,12.47403,11.41279,
Portugal,9.338219,8.457603,9.030622,8.714267,8.858125,9.260276,9.477813,10.05545,10.22159,11.08452,12.51353,12.8726,13.62675,14.13328,15.0508,15.55741,15.0629,15.00247,15.86986,15.83046,15.65357,16.69721,16.28275,16.23472,15.53807,16.25184,16.80861,17.43821,17.66528,16.56885,16.34822,16.31643,16.07929,15.81104,17.03022,17.78172,24.24084,25.37678,24.52483,26.62564,27.57273,27.39187,29.34067,27.71634,26.90939,28.67279,30.99177,34.63979,35.77256,37.92864,40.3134,39.29074,42.19816,38.94598,37.85382,35.25871,36.39694,37.07887,32.76777,32.38277,33.29856,31.28889,31.59928,31.1788,30.43646,27.8411,26.43064,26.37721,24.21125,24.40171,24.17783,22.59915,21.51747,19.94946,20.31426,19.06042,17.2612,19.51535,18.33219,18.67489,18.98626,21.29513,27.47495,21.95104,22.69256,25.89363,23.01591,21.8917,20.39506,18.05211,19.17589,19.18168,19.02116,18.58104,21.16311,23.31439,22.66365,22.97268,19.99352,20.91915,20.41911,19.45774,
